Route,Vehicle,Activity,Job_도착지점의 index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_38,start,O_9,30.09001662324625,30.09001662324625,0,2023-05-01 02:00,2023-05-01 02:00,0.0,200
#1,VEH_38,service,D_293,30.09001662324625,24.70994641448884,224.18,2023-05-01 03:16,2023-05-01 08:00,6.91,210.37
#1,VEH_38,service,D_293,24.70994641448884,0.0,0,2023-05-01 08:00,2023-05-01 09:00,6.91,210.37
#1,VEH_38,finish,O_9,0.0,0.0,0,2023-05-01 10:16,2023-05-01 11:16,13.27,219.91
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_28,start,O_9,31.72626229997644,31.72626229997644,0,2023-05-01 02:00,2023-05-01 02:00,0.0,150
#2,VEH_28,service,D_293,31.72626229997644,0.0,224.18,2023-05-01 03:16,2023-05-01 08:00,6.91,158.29
#2,VEH_28,finish,O_9,0.0,0.0,0,2023-05-01 09:16,2023-05-01 10:16,13.27,165.93
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 09:16,,
TOTAL,,,,,,,,,26.54,385.84
